country,category,n_records,mean_z_price,anomaly_rate,total_value_gbp,log_n_records,cluster
Denmark,Edible vegetables and certain roots and tubers,11,-0.8966658127255229,0.2727272727272727,1693578.0,2.3978952727983707,1
Denmark,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles",25,0.4174148102962135,0.0,3030589.0,3.2188758248682006,0
Denmark,"Fish and crustaceans, molluscs and other aquatic invertebrates",111,0.20944839152287084,0.0,11077965.0,4.709530201312334,0
Denmark,Live animals,18,-0.07861315097066868,0.0,1233952.0,2.8903717578961645,0
Denmark,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",57,0.41738693915155933,0.10526315789473684,2918926.0,4.04305126783455,0
Denmark,Meat and edible meat offal,110,-0.23316317753262122,0.09090909090909091,99244829.0,4.700480365792417,0
Denmark,Plastics and plastic products,9,0.5866581505157034,0.0,197359.0,2.1972245773362196,0
Denmark,Products of animal origin not elsewhere specified or included,25,-0.25048718083823046,0.0,999067.0,3.2188758248682006,0
Denmark,"Salt; sulphur; earths and stone; plastering material, lime and cement",15,-0.20962978858235826,0.06666666666666667,5645796.0,2.70805020110221,0
Denmark,"Vehicles other than railway or tramway rolling-stock, and parts and accessories thereof",5,-0.07223799453611117,0.0,6006187.0,1.6094379124341003,0
Dominican Rep,Edible fruit and nuts; peel of citrus fruits or melons,41,-0.5774416911405879,0.0,22076763.0,3.713572066704308,0
Dominican Rep,Edible vegetables and certain roots and tubers,27,0.07030892976167998,0.0,557111.0,3.295836866004329,0
Dominican Rep,"Fish and crustaceans, molluscs and other aquatic invertebrates",10,0.2509335871841477,0.0,21480.0,2.302585092994046,0
Ecuador,Edible fruit and nuts; peel of citrus fruits or melons,30,-1.0213496226798615,0.06666666666666667,22607944.0,3.4011973816621555,0
Ecuador,Edible vegetables and certain roots and tubers,22,-0.4494874006665832,0.0,1324349.0,3.091042453358316,0
Ecuador,"Fish and crustaceans, molluscs and other aquatic invertebrates",24,-0.47296159529217247,0.0,19833698.0,3.1780538303479458,0
Ecuador,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",40,0.737027723959911,0.025,2071211.0,3.6888794541139363,0
Egypt,Edible fruit and nuts; peel of citrus fruits or melons,92,-0.3873310594850788,0.043478260869565216,57009406.0,4.5217885770490405,0
Egypt,Edible vegetables and certain roots and tubers,189,-0.24732091521818858,0.015873015873015872,32705286.0,5.241747015059643,0
Estonia,"Aircraft, spacecraft, and parts thereof",5,-0.36256750866949705,0.0,932433.0,1.6094379124341003,0
Estonia,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",14,0.15202868737751446,0.0,188542.0,2.6390573296152584,0
Estonia,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles",6,0.5975901958762174,0.0,110220.0,1.791759469228055,0
Ethiopia,Edible vegetables and certain roots and tubers,12,0.3781565034040033,0.0,209974.0,2.4849066497880004,0
Ethiopia,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",12,-0.15663901390119891,0.0,3866815.0,2.4849066497880004,0
Falkland Islands,Meat and edible meat offal,9,-0.5439801112649656,0.0,483240.0,2.1972245773362196,0
Faroe Islands,"Fish and crustaceans, molluscs and other aquatic invertebrates",108,-0.37063707995869727,0.046296296296296294,83026531.0,4.68213122712422,0
Fiji,"Fish and crustaceans, molluscs and other aquatic invertebrates",8,0.5157791479605318,0.0,38162.0,2.0794415416798357,0
Finland,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",5,0.3990631698805955,0.0,1105242.0,1.6094379124341003,0
Finland,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles",17,-0.4524218578021712,0.058823529411764705,207225.0,2.833213344056216,0
France,"Aircraft, spacecraft, and parts thereof",46,0.1828006136855242,0.043478260869565216,14280231.0,3.828641396489095,0
France,Arms and ammunition; parts and accessoriesthereof,13,-0.09261824638028908,0.0,14735580.0,2.5649493574615367,0
France,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1072,0.12005473119730853,0.021455223880597014,197998791.0,6.977281341630747,0
France,Edible fruit and nuts; peel of citrus fruits or melons,454,0.1359674883904295,0.00881057268722467,51196701.0,6.118097198041348,0
France,Edible vegetables and certain roots and tubers,983,0.014751916502561116,0.024415055951169887,90676925.0,6.890609120147166,0
France,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles",54,0.10319310518137469,0.1111111111111111,10083909.0,3.9889840465642745,0
France,Explosives; pyrotechnic products; matches;pyrophoric alloys; combustible materials,23,0.6099814985906269,0.0,3922226.0,3.1354942159291497,0
France,"Fish and crustaceans, molluscs and other aquatic invertebrates",311,0.3670131953053987,0.02572347266881029,18688111.0,5.739792912179234,0
France,"Inorganic chemicals: organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes",12,0.15757216419448444,0.08333333333333333,32517863.0,2.4849066497880004,0
France,Live animals,79,0.29309012936642875,0.0759493670886076,34270177.0,4.3694478524670215,0
France,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",281,-0.01487130004565191,0.021352313167259787,15116543.0,5.638354669333745,0
France,Meat and edible meat offal,711,0.20657043405625966,0.01828410689170183,75570490.0,6.566672429803241,0
France,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medical plants; straw and fodder",5,0.4615249394326428,0.0,204437.0,1.6094379124341003,0
France,Organic chemicals,21,0.3241136928784619,0.0,334128.0,3.044522437723423,0
France,Plastics and plastic products,42,-0.16443594428207847,0.047619047619047616,2649346.0,3.7376696182833684,0
France,Products of animal origin not elsewhere specified or included,73,-0.11993100619166448,0.0410958904109589,2632013.0,4.290459441148391,0
France,"Salt; sulphur; earths and stone; plastering material, lime and cement",16,0.5489336228252831,0.0,399435.0,2.772588722239781,0
France,"Vehicles other than railway or tramway rolling-stock, and parts and accessories thereof",15,-0.08867827417041138,0.06666666666666667,6916354.0,2.70805020110221,0
Gambia,Edible vegetables and certain roots and tubers,8,0.34064058133370523,0.0,761448.0,2.0794415416798357,0
Germany,"Aircraft, spacecraft, and parts thereof",41,0.39309568788583155,0.0,10930466.0,3.713572066704308,0
Germany,Arms and ammunition; parts and accessoriesthereof,19,0.20881591962982243,0.0,37479541.0,2.9444389791664403,0
Germany,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",722,-0.32195626777005515,0.024930747922437674,108632892.0,6.582025138892826,0
Germany,Edible fruit and nuts; peel of citrus fruits or melons,341,0.1165363646190666,0.011730205278592375,41753298.0,5.831882477283517,0
Germany,Edible vegetables and certain roots and tubers,545,0.19169090279749557,0.009174311926605505,54394414.0,6.300785794663244,0
