month,flow_type_id,commodity_id,category,country,value_gbp,net_mass_kg
202401,1,28,"Inorganic chemicals: organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes",Netherlands,22915.0,6300.0
202401,1,28,"Inorganic chemicals: organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes",Germany,16528.0,6000.0
202401,1,28,"Inorganic chemicals: organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes",Italy,156479.0,52297.0
202401,1,28,"Inorganic chemicals: organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes",Italy,49109.0,22000.0
202401,1,28,"Inorganic chemicals: organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes",Spain,28979.0,8000.0
202401,1,28,"Inorganic chemicals: organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes",Spain,28979.0,8000.0
202401,1,28,"Inorganic chemicals: organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes",Spain,48827.0,22800.0
202401,1,28,"Inorganic chemicals: organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes",Spain,6359.0,400.0
202401,1,28,"Inorganic chemicals: organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes",Belgium,10875.0,3000.0
202401,1,28,"Inorganic chemicals: organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes",Belgium,25201.0,10000.0
202401,3,28,"Inorganic chemicals: organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes",Norway,40914.0,12354.0
202401,1,28,"Inorganic chemicals: organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes",Austria,8801.0,2000.0
202401,1,28,"Inorganic chemicals: organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes",Slovakia,50069.0,14880.0
202401,3,28,"Inorganic chemicals: organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes",Canada,57266.0,19958.0
202401,3,28,"Inorganic chemicals: organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes",Mexico,556963.0,504000.0
202401,3,28,"Inorganic chemicals: organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes",Mexico,104643.0,96000.0
202401,3,28,"Inorganic chemicals: organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes",Peru,5067.0,2331.0
202401,3,28,"Inorganic chemicals: organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes",Peru,835050.0,371000.0
202401,3,28,"Inorganic chemicals: organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes",India,54788.0,24000.0
202401,3,28,"Inorganic chemicals: organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes",United States,55799472.0,365131.0
202401,3,28,"Inorganic chemicals: organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes",Canada,82074629.0,595366.0
202401,1,29,Organic chemicals,France,2088.0,144.0
202401,1,29,Organic chemicals,France,45151.0,18499.0
202401,1,29,Organic chemicals,France,1659.0,854.0
202401,1,29,Organic chemicals,Netherlands,17090.0,24760.0
202401,1,29,Organic chemicals,Netherlands,495996.0,2199739.0
202401,1,29,Organic chemicals,Netherlands,1220884.0,2355475.0
202401,1,29,Organic chemicals,Germany,22751.0,4906.0
202401,1,29,Organic chemicals,Germany,470104.0,251614.0
202401,1,29,Organic chemicals,Germany,7805.0,2147.0
202401,1,29,Organic chemicals,Germany,5031.0,367.0
202401,1,29,Organic chemicals,Germany,3049.0,10907.0
202401,1,29,Organic chemicals,Ireland,1027.0,220.0
202401,1,29,Organic chemicals,Ireland,444.0,27.0
202401,1,29,Organic chemicals,Denmark,13258.0,4320.0
202401,1,29,Organic chemicals,Spain,5586.0,24880.0
202401,1,29,Organic chemicals,Spain,17830.0,79320.0
202401,1,29,Organic chemicals,Belgium,3215564.0,10921344.0
202401,1,29,Organic chemicals,Belgium,2149563.0,8400000.0
202401,1,29,Organic chemicals,Belgium,2719.0,32.0
202401,1,29,Organic chemicals,Sweden,254584.0,300431.0
202401,3,29,Organic chemicals,United States,5407.0,7.0
202401,3,29,Organic chemicals,United States,8994.0,1475.0
202401,3,29,Organic chemicals,Trinidad:Tobago,2571991.0,9100000.0
202401,3,29,Organic chemicals,Trinidad:Tobago,2088355.0,8000000.0
202401,3,29,Organic chemicals,Thailand,126535.0,80040.0
202401,1,29,Organic chemicals,France,30795.0,850.0
202401,1,29,Organic chemicals,France,12593.0,4000.0
202401,1,29,Organic chemicals,France,2121.0,600.0
202401,1,29,Organic chemicals,France,38783.0,1200.0
202401,1,29,Organic chemicals,Netherlands,118557.0,162850.0
202401,1,29,Organic chemicals,Netherlands,1283561.0,2020100.0
202401,1,29,Organic chemicals,Netherlands,2114.0,322.0
202401,1,29,Organic chemicals,Germany,28314.0,6680.0
202401,1,29,Organic chemicals,Germany,9022.0,2349.0
202401,1,29,Organic chemicals,Germany,8061.0,2120.0
202401,1,29,Organic chemicals,Germany,12240.0,450.0
202401,1,29,Organic chemicals,Germany,35040.0,13000.0
202401,1,29,Organic chemicals,Germany,9580.0,1000.0
202401,1,29,Organic chemicals,Ireland,3463.0,100.0
202401,1,29,Organic chemicals,Spain,136750.0,164920.0
202401,1,29,Organic chemicals,Spain,1506.0,480.0
202401,1,29,Organic chemicals,Spain,12070.0,300.0
202401,1,29,Organic chemicals,Belgium,14976.0,1100.0
202401,1,29,Organic chemicals,Belgium,257066.0,355100.0
202401,1,29,Organic chemicals,Belgium,336607.0,463800.0
202401,1,29,Organic chemicals,Belgium,7955.0,1739.0
202401,1,29,Organic chemicals,Belgium,32264.0,12000.0
202401,1,29,Organic chemicals,Belgium,2303.0,86.0
202401,3,29,Organic chemicals,Switzerland,35895.0,10920.0
202401,3,29,Organic chemicals,Switzerland,1447.0,500.0
202401,3,29,Organic chemicals,Switzerland,10047.0,1982.0
202401,3,29,Organic chemicals,Switzerland,44626.0,13200.0
202401,3,29,Organic chemicals,Switzerland,19675.0,4000.0
202401,3,29,Organic chemicals,Switzerland,14212.0,4200.0
202401,3,29,Organic chemicals,United States,5454.0,200.0
202401,3,29,Organic chemicals,Israel,86316.0,2750.0
202401,3,29,Organic chemicals,Oman,679247.0,1000000.0
202401,3,29,Organic chemicals,India,24042.0,500.0
202401,3,29,Organic chemicals,Malaysia,3664.0,893.0
202401,3,29,Organic chemicals,China,20552.0,4368.0
202401,3,29,Organic chemicals,China,2356018.0,2970540.0
202401,3,29,Organic chemicals,China,126546.0,13550.0
202401,3,29,Organic chemicals,China,2335.0,35.0
202401,3,29,Organic chemicals,China,2490.0,7.0
202401,3,29,Organic chemicals,South Korea,26646.0,10000.0
202401,3,29,Organic chemicals,South Korea,646774.0,1000000.0
202401,3,29,Organic chemicals,Taiwan,29394.0,10000.0
202401,1,36,Explosives; pyrotechnic products; matches;pyrophoric alloys; combustible materials,France,249128.0,198.0
202401,1,36,Explosives; pyrotechnic products; matches;pyrophoric alloys; combustible materials,France,65913.0,20.0
202401,1,36,Explosives; pyrotechnic products; matches;pyrophoric alloys; combustible materials,France,1015420.0,46485.0
202401,1,36,Explosives; pyrotechnic products; matches;pyrophoric alloys; combustible materials,France,6813.0,1.0
202401,1,36,Explosives; pyrotechnic products; matches;pyrophoric alloys; combustible materials,France,1717.0,1.0
202401,1,36,Explosives; pyrotechnic products; matches;pyrophoric alloys; combustible materials,France,1668.0,1.0
202401,1,36,Explosives; pyrotechnic products; matches;pyrophoric alloys; combustible materials,France,17314.0,3.0
202401,1,36,Explosives; pyrotechnic products; matches;pyrophoric alloys; combustible materials,Netherlands,311192.0,15930.0
202401,1,36,Explosives; pyrotechnic products; matches;pyrophoric alloys; combustible materials,Netherlands,5448.0,352.0
202401,1,36,Explosives; pyrotechnic products; matches;pyrophoric alloys; combustible materials,Germany,18930.0,482.0
202401,1,36,Explosives; pyrotechnic products; matches;pyrophoric alloys; combustible materials,Germany,3438.0,3.0
202401,1,36,Explosives; pyrotechnic products; matches;pyrophoric alloys; combustible materials,Germany,777998.0,13755.0
202401,1,36,Explosives; pyrotechnic products; matches;pyrophoric alloys; combustible materials,Germany,11934.0,3.0
202401,1,36,Explosives; pyrotechnic products; matches;pyrophoric alloys; combustible materials,Germany,2321.0,45.0
202401,1,36,Explosives; pyrotechnic products; matches;pyrophoric alloys; combustible materials,Italy,24693.0,25.0
202401,1,36,Explosives; pyrotechnic products; matches;pyrophoric alloys; combustible materials,Italy,107801.0,866.0
202401,1,36,Explosives; pyrotechnic products; matches;pyrophoric alloys; combustible materials,Ireland,22934.0,8236.0
202401,1,36,Explosives; pyrotechnic products; matches;pyrophoric alloys; combustible materials,Ireland,17664.0,308.0
202401,1,36,Explosives; pyrotechnic products; matches;pyrophoric alloys; combustible materials,Denmark,145734.0,6545.0
202401,1,36,Explosives; pyrotechnic products; matches;pyrophoric alloys; combustible materials,Greece,3899.0,30.0
202401,1,36,Explosives; pyrotechnic products; matches;pyrophoric alloys; combustible materials,Spain,17830.0,250.0
202401,1,36,Explosives; pyrotechnic products; matches;pyrophoric alloys; combustible materials,Belgium,8280.0,90.0
202401,1,36,Explosives; pyrotechnic products; matches;pyrophoric alloys; combustible materials,Belgium,175932.0,10000.0
202401,3,36,Explosives; pyrotechnic products; matches;pyrophoric alloys; combustible materials,Norway,42733.0,43.0
202401,3,36,Explosives; pyrotechnic products; matches;pyrophoric alloys; combustible materials,Norway,7133.0,7.0
202401,3,36,Explosives; pyrotechnic products; matches;pyrophoric alloys; combustible materials,Norway,8121.0,8.0
202401,1,36,Explosives; pyrotechnic products; matches;pyrophoric alloys; combustible materials,Sweden,184661.0,5362.0
202401,1,36,Explosives; pyrotechnic products; matches;pyrophoric alloys; combustible materials,Austria,6530.0,3416.0
202401,3,36,Explosives; pyrotechnic products; matches;pyrophoric alloys; combustible materials,Switzerland,397959.0,12035.0
202401,3,36,Explosives; pyrotechnic products; matches;pyrophoric alloys; combustible materials,Switzerland,136675.0,15.0
202401,1,36,Explosives; pyrotechnic products; matches;pyrophoric alloys; combustible materials,Czechia,950.0,63.0
202401,1,36,Explosives; pyrotechnic products; matches;pyrophoric alloys; combustible materials,Czechia,5399.0,7.0
202401,3,36,Explosives; pyrotechnic products; matches;pyrophoric alloys; combustible materials,South Africa,263959.0,8960.0
202401,3,36,Explosives; pyrotechnic products; matches;pyrophoric alloys; combustible materials,United States,57940.0,37.0
202401,3,36,Explosives; pyrotechnic products; matches;pyrophoric alloys; combustible materials,United States,892573.0,283.0
202401,3,36,Explosives; pyrotechnic products; matches;pyrophoric alloys; combustible materials,United States,319633.0,5879.0
202401,3,36,Explosives; pyrotechnic products; matches;pyrophoric alloys; combustible materials,Canada,234910.0,6263.0
202401,3,36,Explosives; pyrotechnic products; matches;pyrophoric alloys; combustible materials,Canada,2692.0,2.0
202401,3,36,Explosives; pyrotechnic products; matches;pyrophoric alloys; combustible materials,Canada,4454.0,30.0
202401,3,36,Explosives; pyrotechnic products; matches;pyrophoric alloys; combustible materials,South Korea,1816.0,94.0
202401,3,36,Explosives; pyrotechnic products; matches;pyrophoric alloys; combustible materials,Hong Kong,1290.0,1.0
202401,1,39,Plastics and plastic products,France,18554.0,209.0
202401,1,39,Plastics and plastic products,France,45272.0,1620.0
202401,1,39,Plastics and plastic products,France,308718.0,33978.0
202401,1,39,Plastics and plastic products,France,76522.0,6365.0
202401,1,39,Plastics and plastic products,France,1545.0,1.0
202401,1,39,Plastics and plastic products,France,9920.0,448.0
202401,1,39,Plastics and plastic products,France,286146.0,18361.0
202401,1,39,Plastics and plastic products,France,6581.0,158.0
202401,1,39,Plastics and plastic products,France,15070.0,800.0
202401,1,39,Plastics and plastic products,Netherlands,3594.0,475.0
202401,1,39,Plastics and plastic products,Netherlands,13640.0,2100.0
202401,1,39,Plastics and plastic products,Netherlands,2173.0,2.0
202401,1,39,Plastics and plastic products,Netherlands,102709.0,13429.0
202401,1,39,Plastics and plastic products,Netherlands,41995.0,21120.0
202401,1,39,Plastics and plastic products,Netherlands,227707.0,17092.0
202401,1,39,Plastics and plastic products,Netherlands,257028.0,23210.0
202401,1,39,Plastics and plastic products,Netherlands,140943.0,9960.0
202401,1,39,Plastics and plastic products,Netherlands,20012.0,600.0
202401,1,39,Plastics and plastic products,Netherlands,7176.0,62.0
202401,1,39,Plastics and plastic products,Netherlands,5101.0,7.0
202401,1,39,Plastics and plastic products,Netherlands,21599.0,167.0
202401,1,39,Plastics and plastic products,Netherlands,100299.0,2700.0
202401,1,39,Plastics and plastic products,Germany,34369.0,1013.0
202401,1,39,Plastics and plastic products,Germany,18910.0,3000.0
202401,1,39,Plastics and plastic products,Germany,163693.0,1298.0
202401,1,39,Plastics and plastic products,Germany,2568.0,30.0
202401,1,39,Plastics and plastic products,Germany,1018.0,4.0
202401,1,39,Plastics and plastic products,Germany,8260.0,1000.0
202401,1,39,Plastics and plastic products,Germany,15360.0,24.0
202401,1,39,Plastics and plastic products,Germany,951.0,325.0
202401,1,39,Plastics and plastic products,Italy,108938.0,25721.0
202401,1,39,Plastics and plastic products,Italy,1938.0,48.0
202401,1,39,Plastics and plastic products,Italy,9467.0,21.0
202401,1,39,Plastics and plastic products,Ireland,18755.0,1000.0
202401,1,39,Plastics and plastic products,Ireland,22660.0,1400.0
202401,1,39,Plastics and plastic products,Denmark,2594.0,50.0
202401,1,39,Plastics and plastic products,Denmark,7895.0,101.0
202401,1,39,Plastics and plastic products,Spain,97875.0,6021.0
202401,1,39,Plastics and plastic products,Spain,3049.0,19.0
202401,1,39,Plastics and plastic products,Spain,908.0,1.0
202401,1,39,Plastics and plastic products,Spain,12788.0,33.0
202401,1,39,Plastics and plastic products,Belgium,7935.0,1039.0
202401,1,39,Plastics and plastic products,Belgium,5087.0,475.0
202401,1,39,Plastics and plastic products,Belgium,4445.0,500.0
202401,1,39,Plastics and plastic products,Belgium,94182.0,26400.0
202401,1,39,Plastics and plastic products,Belgium,151537.0,14122.0
202401,1,39,Plastics and plastic products,Belgium,3405.0,315.0
202401,1,39,Plastics and plastic products,Belgium,7394.0,9.0
202401,3,39,Plastics and plastic products,Norway,6099333.0,395582.0
202401,1,39,Plastics and plastic products,Sweden,9589.0,1.0
202401,1,39,Plastics and plastic products,Sweden,56990.0,5.0
202401,1,39,Plastics and plastic products,Sweden,325554.0,372.0
202401,1,39,Plastics and plastic products,Austria,182613.0,16440.0
202401,1,39,Plastics and plastic products,Austria,87476.0,11670.0
202401,1,39,Plastics and plastic products,Austria,69166.0,9600.0
202401,3,39,Plastics and plastic products,Switzerland,2908.0,50.0
202401,3,39,Plastics and plastic products,Switzerland,8029.0,9.0
202401,1,39,Plastics and plastic products,Latvia,10958.0,20.0
202401,1,39,Plastics and plastic products,Lithuania,2725.0,2.0
202401,1,39,Plastics and plastic products,Poland,29505.0,10800.0
